"kategorie","poi_id","name","laengengrad","breitengrad","adresse","plz","ort","access","fee","wheelchair","opening_hours","operator","beschreibung","solar_anzahl_werte","solar_durchschnitt_april_bis_september_w_m2","solar_median_april_bis_september_w_m2","solar_minimum_w_m2","solar_minimum_zeitpunkt","solar_maximum_w_m2","solar_maximum_zeitpunkt","link_komplexe_karte_popup","solar_0401_08_w_m2","solar_0401_09_w_m2","solar_0401_10_w_m2","solar_0401_11_w_m2","solar_0401_12_w_m2","solar_0401_13_w_m2","solar_0401_14_w_m2","solar_0401_15_w_m2","solar_0401_16_w_m2","solar_0401_17_w_m2","solar_0401_18_w_m2","solar_0401_19_w_m2","solar_0401_20_w_m2","solar_0415_08_w_m2","solar_0415_09_w_m2","solar_0415_10_w_m2","solar_0415_11_w_m2","solar_0415_12_w_m2","solar_0415_13_w_m2","solar_0415_14_w_m2","solar_0415_15_w_m2","solar_0415_16_w_m2","solar_0415_17_w_m2","solar_0415_18_w_m2","solar_0415_19_w_m2","solar_0415_20_w_m2","solar_0501_08_w_m2","solar_0501_09_w_m2","solar_0501_10_w_m2","solar_0501_11_w_m2","solar_0501_12_w_m2","solar_0501_13_w_m2","solar_0501_14_w_m2","solar_0501_15_w_m2","solar_0501_16_w_m2","solar_0501_17_w_m2","solar_0501_18_w_m2","solar_0501_19_w_m2","solar_0501_20_w_m2","solar_0515_08_w_m2","solar_0515_09_w_m2","solar_0515_10_w_m2","solar_0515_11_w_m2","solar_0515_12_w_m2","solar_0515_13_w_m2","solar_0515_14_w_m2","solar_0515_15_w_m2","solar_0515_16_w_m2","solar_0515_17_w_m2","solar_0515_18_w_m2","solar_0515_19_w_m2","solar_0515_20_w_m2","solar_0601_08_w_m2","solar_0601_09_w_m2","solar_0601_10_w_m2","solar_0601_11_w_m2","solar_0601_12_w_m2","solar_0601_13_w_m2","solar_0601_14_w_m2","solar_0601_15_w_m2","solar_0601_16_w_m2","solar_0601_17_w_m2","solar_0601_18_w_m2","solar_0601_19_w_m2","solar_0601_20_w_m2","solar_0615_08_w_m2","solar_0615_09_w_m2","solar_0615_10_w_m2","solar_0615_11_w_m2","solar_0615_12_w_m2","solar_0615_13_w_m2","solar_0615_14_w_m2","solar_0615_15_w_m2","solar_0615_16_w_m2","solar_0615_17_w_m2","solar_0615_18_w_m2","solar_0615_19_w_m2","solar_0615_20_w_m2","solar_0701_08_w_m2","solar_0701_09_w_m2","solar_0701_10_w_m2","solar_0701_11_w_m2","solar_0701_12_w_m2","solar_0701_13_w_m2","solar_0701_14_w_m2","solar_0701_15_w_m2","solar_0701_16_w_m2","solar_0701_17_w_m2","solar_0701_18_w_m2","solar_0701_19_w_m2","solar_0701_20_w_m2","solar_0715_08_w_m2","solar_0715_09_w_m2","solar_0715_10_w_m2","solar_0715_11_w_m2","solar_0715_12_w_m2","solar_0715_13_w_m2","solar_0715_14_w_m2","solar_0715_15_w_m2","solar_0715_16_w_m2","solar_0715_17_w_m2","solar_0715_18_w_m2","solar_0715_19_w_m2","solar_0715_20_w_m2","solar_0801_08_w_m2","solar_0801_09_w_m2","solar_0801_10_w_m2","solar_0801_11_w_m2","solar_0801_12_w_m2","solar_0801_13_w_m2","solar_0801_14_w_m2","solar_0801_15_w_m2","solar_0801_16_w_m2","solar_0801_17_w_m2","solar_0801_18_w_m2","solar_0801_19_w_m2","solar_0801_20_w_m2","solar_0815_08_w_m2","solar_0815_09_w_m2","solar_0815_10_w_m2","solar_0815_11_w_m2","solar_0815_12_w_m2","solar_0815_13_w_m2","solar_0815_14_w_m2","solar_0815_15_w_m2","solar_0815_16_w_m2","solar_0815_17_w_m2","solar_0815_18_w_m2","solar_0815_19_w_m2","solar_0815_20_w_m2","solar_0901_08_w_m2","solar_0901_09_w_m2","solar_0901_10_w_m2","solar_0901_11_w_m2","solar_0901_12_w_m2","solar_0901_13_w_m2","solar_0901_14_w_m2","solar_0901_15_w_m2","solar_0901_16_w_m2","solar_0901_17_w_m2","solar_0901_18_w_m2","solar_0901_19_w_m2","solar_0901_20_w_m2","solar_0915_08_w_m2","solar_0915_09_w_m2","solar_0915_10_w_m2","solar_0915_11_w_m2","solar_0915_12_w_m2","solar_0915_13_w_m2","solar_0915_14_w_m2","solar_0915_15_w_m2","solar_0915_16_w_m2","solar_0915_17_w_m2","solar_0915_18_w_m2","solar_0915_19_w_m2","solar_0915_20_w_m2"
"Spielplatz","playground-0","","8.805521","49.386297","","","","yes","","","","","","156","285.92","277.774","0","01.04. 19:00","626.04","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.805521&lat=49.386297&z=16.50&ansicht=komplex&lang=de&poi=playground-0&skipIntro=1","144.453","192.843","315.016","388.941","460.135","403.074","368.984","277.381","175.261","88.669","22.113","0","0","170.712","227.818","358.099","462.956","496.216","472.712","413.721","313.276","206.47","110.753","46.72","0","0","195.48","263.394","411.911","503.289","545.428","517.568","449.495","335.234","235.675","140.901","66.555","16.159","0","236.938","327.521","439.092","540.042","578.138","559.413","463.688","368.786","264.821","157.958","77.319","27.098","0","250.853","354.585","478.171","566.501","609.611","582.968","503.668","394.651","284.457","159.332","94.19","50.146","0","259.819","364.749","489.125","574.512","626.04","585.864","526.828","404.253","278.167","185.963","97.457","54.735","8.398","255.405","363.521","487.586","572.687","624.11","584.12","525.18","402.961","277.094","185.051","96.732","53.913","0","246.138","348.059","473.043","553.993","600.142","576.841","491.109","390.439","267.365","157.083","92.226","47.683","0","226.523","299.155","427.629","531.746","565.464","541.202","461.409","351.851","263.347","154.102","74.279","24.585","0","184.313","254.768","411.003","486.79","530.536","505.733","447.901","327.945","229.933","127.251","62.609","13.052","0","155.58","216.09","345.014","428.343","477.044","448.565","398.034","298.054","197.855","107.259","34.117","0","0","130.467","184.346","302.624","376.406","424.336","390.153","356.359","259.521","169.857","87.038","17.646","0","0"
"Spielplatz","playground-1","Generationengarten","8.803481","49.379943","","","","yes","","","","","","156","356.382","395.379","0","01.04. 19:00","685.349","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.803481&lat=49.379943&z=16.50&ansicht=komplex&lang=de&poi=playground-1&skipIntro=1","128.605","272.626","403.48","481.743","553.653","541.951","482.609","406.845","291.199","155.885","22.13","0","0","199.126","325.125","439.074","525.72","601.67","580.245","537.173","452.067","340.911","194.947","36.452","0","0","240.049","354.816","488.856","570.101","627.038","615.885","582.454","503.711","383.52","247.781","104.87","16.164","0","264.788","377.461","496.582","586.569","648.749","643.672","589.937","523.328","405.826","277.463","128.415","27.112","0","292.338","397.688","509.013","622.469","682.821","659.168","606.852","532.26","413.435","289.135","143.636","35.63","0","301.087","405.988","517.338","643.321","685.349","661.322","615.18","540.932","427.291","300.448","153.002","48.936","8.389","299.657","404.246","515.527","641.34","683.356","659.436","613.437","539.283","425.681","298.962","151.877","41.065","0","284.767","393.07","504.113","608.378","677.415","646.577","593.366","527.802","409.194","285.171","144.626","34.107","0","258.345","369.789","498.225","577.437","639.687","620.47","588.067","515.449","392.976","271.09","128.98","24.597","0","229.77","345.669","472.529","551.946","615.288","604.385","571.134","493.316","362.384","229.488","89.011","13.055","0","187.324","310.576","424.585","505.669","578.74","564.836","521.707","432.726","319.575","179.577","32.266","0","0","103.369","261.142","383.257","465.82","527.407","524.765","465.268","390.828","272.877","108.668","17.661","0","0"
"Spielplatz","playground-2","","8.804682","49.382044","","","","yes","","no","","","","156","281.439","322.66","0","01.04. 19:00","524.178","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.804682&lat=49.382044&z=16.50&ansicht=komplex&lang=de&poi=playground-2&skipIntro=1","208.233","288.054","336.45","362.243","386.77","360.364","322.401","272.205","189.794","109.562","20.526","0","0","249.336","326.548","378.65","401.022","424.587","399.536","362.656","309.743","223.358","144.822","34.276","0","0","284.915","352.206","414.869","436.018","465.552","449.728","395.792","333.079","258.734","176.606","94.657","14.994","0","310.551","376.147","439.288","456.098","495.997","479.073","418.925","356.804","281.184","199.524","118.62","25.148","0","332.033","396.054","456.493","476.128","512.977","495.858","437.062","379.278","307.315","218.975","140.26","56.451","0","343.508","400.673","459.875","476.217","524.178","492.441","442.379","387.05","314.268","227.753","151.078","72.683","7.786","338.655","398.652","458.251","474.611","520.909","490.729","440.782","383.801","312.82","225.749","149.841","69.928","0","327.869","390.381","450.604","467.761","507.68","489.573","429.194","375.175","299.98","214.673","137.401","49.815","0","300.45","365.446","429.884","448.811","483.133","469.72","414.714","348.741","274.413","193.185","114.3","22.816","0","276.682","339.645","402.199","424.288","455.715","437.68","386.651","322.919","251.216","170.099","86.48","12.111","0","233.857","311.425","365.516","389.262","408.572","386.13","346.433","297.902","208.314","133.139","29.927","0","0","194.582","270.226","317.49","347.333","362.693","350.138","311.157","258.403","176.882","98.238","16.38","0","0"
"Spielplatz","playground-3","Ziegelhütte-Leinpfad","8.786819","49.394985","","","","","","","08:00-13:00,15:00-20:00","","","156","345.864","366.718","0","01.04. 19:00","729.54","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.786819&lat=49.394985&z=16.50&ansicht=komplex&lang=de&poi=playground-3&skipIntro=1","107.08","197.987","315.567","401.515","461.53","462.373","432.56","350.394","239.074","109.246","25.313","0","0","135.269","254.719","390.771","498.45","533.839","555.89","507.726","425.895","309.129","153.815","41.696","0","0","176.716","325.4","471.765","563.995","622.401","633.119","580.942","475.289","361.897","201.849","56.459","18.51","0","252.425","369.841","517.99","610.581","672.234","670.969","622.451","521.097","401.243","241.023","97.307","31.032","0","301.11","424.824","560.799","667.724","711.502","701.864","651.29","564.031","431.954","255.297","119.221","40.775","0","337.927","448.046","579.417","662.838","729.54","706.255","669.288","578.711","437.555","271.933","129.021","44.376","9.636","315.508","446.301","577.33","660.567","726.996","703.71","662.874","576.02","435.055","270.002","126.659","43.725","0","287.955","416.429","548.962","657.438","704.75","693.573","644.217","548.276","421.198","254.102","117.802","39.033","0","228.06","354.244","497.513","597.549","661.13","656.045","607.441","504.696","388.454","227.55","92.609","28.155","0","170.532","311.303","462.745","554.65","596.468","611.965","568.584","457.898","348.828","188.789","53.243","14.954","0","129.007","234.871","363.594","451.678","514.121","526.436","482.193","400.424","282.096","138.902","36.907","0","0","102.674","173.515","298.165","392.858","431.177","444.713","404.638","322.668","222.01","78.692","20.2","0","0"
"Spielplatz","playground-4","Reichensteinstraße 40","8.799982","49.386147","","","","yes","","","","","","156","380.058","400.99","0","01.04. 19:00","786.562","15.06. 10:00","https://kfg-gis-2026.github.io/web-map/?lng=8.799982&lat=49.386147&z=16.50&ansicht=komplex&lang=de&poi=playground-4&skipIntro=1","480.007","602.647","673.48","641.217","604.49","466.098","343.253","231.114","119.739","59.78","22.308","0","0","538.801","662.157","720.176","705.338","641.676","532.132","372.534","265.601","163.453","76.669","36.744","0","0","580.307","691.873","758.493","739.666","674.434","589.227","400.19","270.962","164.323","93.654","50.578","16.301","0","605.211","711.023","771.8","759.305","699.216","603.081","401.789","283.189","186.772","104.661","58.666","27.336","0","620.989","735.511","784.566","767.065","707.224","616.918","408.494","296.851","189.091","111.238","66.875","36.297","0","633.644","738.596","786.562","768.466","720.11","619.162","434.329","304.268","199.624","135.513","69.424","39.564","8.471","631.385","736.375","784.392","766.428","718.108","617.351","432.99","303.096","198.696","134.725","68.872","38.974","0","614.867","722.804","778.56","761.421","701.88","612.022","405.078","282.25","186.674","109.567","63.934","34.724","0","594.439","700.431","764.393","749.259","689.76","594.65","404.884","277.971","178.576","101.858","55.743","24.801","0","566.056","677.726","744.196","726.307","662.12","564.454","392.155","264.266","159.687","90.652","47.647","13.167","0","517.573","632.496","700.046","686.694","619.076","501.088","361.684","250.609","136.861","74.131","32.524","0","0","438.351","579.754","650.928","621.06","549.831","451.369","331.411","216.006","113.793","55.277","17.802","0","0"
"Spielplatz","playground-5","Menzerpark Dilsberger Straße","8.801722","49.393425","","","","yes","","yes","08:00-13:00,15:00-20:00","","","156","336.022","345.402","0","01.04. 19:00","711.94","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.801722&lat=49.393425&z=16.50&ansicht=komplex&lang=de&poi=playground-5&skipIntro=1","185.501","319.524","412.74","484.193","506.157","465.52","390.591","258.552","147.268","78.927","23.746","0","0","236.022","381.477","482.907","563.609","578.986","533.119","453.358","313.33","189.118","113.958","46.168","0","0","284.203","429.399","551.224","614.787","632.643","587.33","508.493","358.837","226.44","146.893","69.67","17.361","0","317.802","456.878","567.147","641.49","671.473","631.482","530.06","397.609","263.862","167.574","90.826","29.108","0","345.1","483.953","585.764","667.248","692.406","657.117","556.567","434.761","285.877","179.046","110.136","55.917","0","345.703","489.067","599.595","681.846","711.94","661.38","573.241","442.661","302.281","199.081","117.155","61.742","9.035","344.096","487.125","590.023","679.578","709.612","659.164","567.478","440.914","294.733","198.029","116.29","60.519","0","337.626","473.128","580.154","658.92","686.193","651.055","555.123","422.216","281.261","176.529","105.175","53.402","0","306.32","446.665","570.249","631.272","658.716","618.99","531.573","381.073","255.022","161.302","82.922","26.409","0","266.266","415.062","541.763","592.55","619.478","572.018","504.081","342.523","218.306","135.792","65.003","14.026","0","211.784","355.499","463.616","532.417","547.643","507.921","431.41","298.066","178.681","99.608","34.621","0","0","169.74","291.829","394.021","467.081","465.338","441.799","368.547","241.768","135.168","72.283","18.949","0","0"
"Spielplatz","playground-6","","8.842177","49.392018","","","","","","","","","","156","377.983","423.625","0","01.04. 19:00","699.042","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.842177&lat=49.392018&z=16.50&ansicht=komplex&lang=de&poi=playground-6&skipIntro=1","176.939","311.259","383.046","474.823","516.041","514.877","454.822","391.772","291.511","166.211","24.168","0","0","233.98","365.356","452.572","531.867","578.949","569.007","528.354","444.535","340.411","229.077","77.171","0","0","310.089","418.91","505.288","582.773","624.672","628.043","573.813","490.977","393.885","281.378","131.437","17.306","0","347.31","459.215","535.172","625.437","667.979","652.125","603.547","516.32","427.503","310.625","160.23","48.743","0","379.179","491.069","573.049","656.728","685.54","679.077","636.963","551.207","455.386","335.938","188.106","72.347","0","400.839","497.084","589.97","662.237","699.042","684.466","645.678","563.657","462.815","335.806","196.093","82.365","9.004","398.652","494.938","581.72","659.822","696.509","681.984","643.234","561.294","460.583","330.577","194.437","81.004","0","373.649","485.312","567.084","650.167","678.79","672.431","630.394","544.954","449.368","330.353","184.968","68.886","0","336.71","449.817","537.487","614.578","643.761","640.951","603.289","506.049","413.549","301.515","154.591","43.048","0","297.151","401.039","492.836","569.183","610.632","613.768","560.143","478.151","382.294","268.732","119.656","13.98","0","208.595","350.03","426.484","508.873","548.71","550.023","509.828","420.766","324.89","209.004","45.085","0","0","162.791","294.505","355.519","447.579","483.133","494.864","436.616","374.554","269.513","147.977","18.89","0","0"
"Spielplatz","playground-7","","8.808989","49.393839","","","","customers","","yes","","","","156","391.141","431.078","0","01.04. 19:00","781.624","15.06. 12:00","https://kfg-gis-2026.github.io/web-map/?lng=8.808989&lat=49.393839&z=16.50&ansicht=komplex&lang=de&poi=playground-7&skipIntro=1","306.292","428.5","486.46","460.601","481.841","393.962","345.574","274.83","171.138","81.074","26.308","0","0","387.116","504.567","571.939","577.626","572.986","521.231","433.656","336.969","238.615","137.223","54.577","0","0","451.492","572.499","655.647","668.464","666.511","609.128","530.851","404.75","290.804","202.053","94.81","19.236","0","494.293","611.681","694.784","711.787","713.15","670.797","580.693","462.77","332.662","229.287","132.55","32.25","0","527.882","646.753","721.951","762.099","770.603","735.517","634.454","514.526","364.398","255.792","158.752","42.376","0","539.865","657.544","741.369","770.092","781.624","739.092","654.299","532.469","375.75","293.895","168.193","59.007","10.012","536.714","654.339","727.966","767.041","778.573","736.157","651.488","529.95","373.735","291.762","166.346","53.769","0","519.526","633.41","713.49","739.704","762.451","710.651","623.024","491.931","354.854","248.396","151.565","40.566","0","480.528","597.86","677.772","698.574","700.09","654.133","558.324","442.731","320.79","221.372","115.665","29.26","0","434.706","554.938","637.799","649.562","644.544","591.851","521.912","392.977","280.953","187.192","84.594","15.54","0","348.448","471.409","548.678","550.277","527.354","472.377","399.057","296.19","219.504","118.654","45.274","0","0","284.855","404.654","463.327","437.141","411.145","377.936","321.816","243.115","149.664","70.718","20.995","0","0"
